mfds_category,code,drug
112,130830ASY,chloral hydrate   9.5g(0.1g/mL)
112,130832ASY,chloral hydrate   1g(0.1g/mL)
112,130833ASY,chloral hydrate   0.5g(0.1g/mL)
112,149203ATB,doxepin hydrochloride (as doxepin   3mg)
112,149204ATB,doxepin hydrochloride (as doxepin   6mg)
112,160601ATB,flunitrazepam   1mg
112,161801ATB,flurazepam hydrochloride   15mg
112,211701ATB,phenobarbital   30mg
112,243501ATB,triazolam   0.125mg
112,243502ATB,triazolam   0.25mg
112,250501ATB,zolpidem tartrate   10mg
112,250502ATB,zolpidem tartrate   5mg
112,250503ATR,zolpidem tartrate   6.25mg
112,250504ATR,zolpidem tartrate   12.5mg
112,680401ATB,eszopiclone   1mg
112,680402ATB,eszopiclone   2mg
112,680403ATB,eszopiclone   3mg
113,123130ASY,carbamazepine   2g(20mg/mL)
113,123102ATB,carbamazepine   0.2g
113,123102ATR,carbamazepine   0.2g
113,123104ATR,carbamazepine   0.3g
113,136401ATB,clonazepam   0.5mg
113,146801ACH,diphenylhydantoin sodium   0.1g
113,146801ATB,diphenylhydantoin sodium   0.1g
113,147701ATR,divalproex sodium (as divalproex   0.25g)
113,147702ATR,divalproex sodium (as divalproex   0.5g)
113,147801ACH,divalproex sodium particle (as divalproex   0.125g)
113,155901ACS,ethosuximide   0.25g
113,164201ACH,gabapentin   0.1g
113,164202ACH,gabapentin   0.3g
113,164203ACH,gabapentin   0.4g
113,164204ATB,gabapentin   0.6g
113,164205ATB,gabapentin   0.8g
113,181001ATB,lamotrigine   0.1g
113,181002ATB,lamotrigine   25mg
113,181003ATB,lamotrigine   50mg
113,181004ATB,lamotrigine   5mg
113,181005ATB,lamotrigine   2mg
113,206330ASS,oxcarbazepine   6g(60mg/mL)
113,206301ATB,oxcarbazepine   0.3g
113,206302ATB,oxcarbazepine   0.6g
113,206303ATB,oxcarbazepine   0.15g
113,217801ATB,primidone   0.25g
113,229734ASY,sodium valproate   9g(60mg/mL)
113,229701ATR,sodium valproate   0.15g
113,229703ATB,sodium valproate   0.2g
113,229705ATB,sodium valproate   0.3g
113,229705ATR,sodium valproate   0.3g
113,229706ATR,sodium valproate   0.5g
113,229707ATR,sodium valproate   0.6g
113,241801ACR,topiramate   0.1g
113,241801ATB,topiramate   0.1g
113,241802ACR,topiramate   0.2g
113,241803ACH,topiramate   25mg
113,241803ACR,topiramate   25mg
113,241803ATB,topiramate   25mg
113,241804ACH,topiramate   50mg
113,241804ACR,topiramate   50mg
113,241804ATB,topiramate   50mg
113,246901ATE,valproate magnesium   0.5g
113,246902ATE,valproate magnesium   0.2g
113,246903ATE,valproate magnesium   0.3g
113,247001ACS,valproic acid   0.25g
113,247002ACS,valproic acid   0.5g
113,247701ATB,vigabatrin   0.5g
113,250601ATB,zonisamide   0.1g
113,483701ATB,tetrabenazine   25mg
113,488530ALQ,levetiracetam   15g(0.1g/mL)
113,488531ALQ,levetiracetam   30g(0.1g/mL)
113,488536ALQ,levetiracetam   25g(0.1g/mL)
113,488501ATB,levetiracetam   0.5g
113,488501ATR,levetiracetam   0.5g
113,488502ATB,levetiracetam   0.25g
113,488503ATB,levetiracetam   1g
113,488505ATB,levetiracetam   0.75g
113,488505ATR,levetiracetam   0.75g
113,509101ACH,stiripentol   0.5g
113,509401ATB,rufinamide   0.1g
113,509402ATB,rufinamide   0.2g
113,509403ATB,rufinamide   0.4g
113,611702ATB,lacosamide   50mg
113,611703ATB,lacosamide   0.1g
113,611704ATB,lacosamide   0.15g
113,611705ATB,lacosamide   0.2g
113,642401ATB,perampanel (as perampanel anhydrate   2mg)
113,642402ATB,perampanel (as perampanel anhydrate   4mg)
113,642403ATB,perampanel (as perampanel anhydrate   6mg)
113,642404ATB,perampanel (as perampanel anhydrate   8mg)
113,642405ATB,perampanel (as perampanel anhydrate   10mg)
113,642406ATB,perampanel (as perampanel anhydrate   12mg)
114,100901ACH,aceclofenac   0.1g
114,100901ACS,aceclofenac   0.1g
114,100901ATB,aceclofenac   0.1g
114,100903ATR,aceclofenac   0.2g
114,101332ASY,acetaminophen   120g(0.4g/g)
114,101330ASS,acetaminophen   16g(32mg/mL)
114,101303ATB,acetaminophen   0.3g
114,101305ATB,acetaminophen   0.5g
114,101433ASS,acetaminophen(encapsulated)   16g(32mg/mL)
114,101401ATB,acetaminophen(encapsulated)   0.16g
114,101404ATB,acetaminophen(encapsulated)   0.325g
114,101404ATR,acetaminophen(encapsulated)   0.325g
114,101406ATB,acetaminophen(encapsulated)   80mg
114,101430ATR,acetaminophen(encapsulated)   0.65g
114,110701ATB,aspirin   0.1g
114,110702ATB,aspirin   0.5g
114,133801ATB,cinnoxicam   15mg
114,142331ASY,dexibuprofen   0.6g(12mg/mL)
114,142332ASY,dexibuprofen   0.9g(12mg/mL)
114,142333ASY,dexibuprofen   1.2g(12mg/mL)
114,142334ASY,dexibuprofen   6g(12mg/mL)
114,142336ASY,dexibuprofen   72mg(12mg/mL)
114,142337ASY,dexibuprofen   0.144g(12mg/mL)
114,142301ACS,dexibuprofen   0.3g
114,142301ATB,dexibuprofen   0.3g
114,142301ATR,dexibuprofen   0.3g
114,142302ATB,dexibuprofen   0.15g
114,142303ATB,dexibuprofen   0.4g
114,143402ATB,diclofenac potassium   50mg
114,143504ATB,diclofenac sodium   25mg
114,143506ATB,diclofenac sodium   50mg
114,156602ACH,etodolac   0.2g
114,156602ATB,etodolac   0.2g
114,156603ATB,etodolac   0.4g
114,156603ATR,etodolac   0.4g
114,156604ATR,etodolac   0.6g
114,172833ASY,ibuprofen   1.6g(20mg/mL)
114,172834ASY,ibuprofen   1.8g(20mg/mL)
114,172835ASY,ibuprofen   2g(20mg/mL)
114,172836ASY,ibuprofen   10g(20mg/mL)
114,172837ASY,ibuprofen   20g(20mg/mL)
114,172838ASY,ibuprofen   20g(40mg/mL)
114,172802ACS,ibuprofen   0.2g
114,172802ATB,ibuprofen   0.2g
114,172806ATB,ibuprofen   0.4g
114,172807ATR,ibuprofen   0.6g
114,173502ATB,imidazole salicylate   0.75g
114,180001ATB,ketorolac tromethamine   10mg
114,186101ATB,loxoprofen sodium hydrate (as loxoprofen sodium   60mg)
114,186102ATR,loxoprofen sodium hydrate (as loxoprofen sodium   90mg)
114,189001ACH,mefenamic acid   0.25g
114,189003ATB,mefenamic acid   0.5g
114,189701ACH,meloxicam   7.5mg
114,189701ATB,meloxicam   7.5mg
114,189701ATD,meloxicam   7.5mg
114,189702ACH,meloxicam   15mg
114,189702ATD,meloxicam   15mg
114,198102ATB,nabumetone   0.5g
114,199401ATR,naproxen   1g
114,199402ACS,naproxen   0.25g
114,199404ATB,naproxen   0.5g
114,199501ATB,naproxen sodium   0.275g
114,201801ATB,nimesulide   0.1g
114,214001ACH,piroxicam   10mg
114,214001ATB,piroxicam   10mg
114,214004ACH,piroxicam   20mg
114,214004ATB,piroxicam   20mg
114,214202ATB,piroxicam β-cyclodextrin (as piroxicam   10mg)
114,216534ASY,pranoprofen   3.75g (7.5mg/mL)
114,218602ATB,proglumetacin maleate   0.3g
114,233201ATB,sulindac   0.1g
114,233802ATB,sumatriptan succinate (as sumatriptan   50mg)
114,233803ATB,sumatriptan succinate (as sumatriptan   25mg)
114,234401ATB,talniflumate   0.37g
114,238901ATB,tiaprofenic acid   0.2g
114,242302ATR,tramadol hydrochloride   0.15g(1회/1일)
114,242304ATR,tramadol hydrochloride   0.2g(1회/1일)
114,242301ATR,tramadol hydrochloride   0.1g
114,242305ACH,tramadol hydrochloride   50mg
114,242305ATB,tramadol hydrochloride   50mg
114,242308ATR,tramadol hydrochloride   75mg
114,249901ATB,zaltoprofen   80mg
114,251800ATB,caffeine anhydrous   0.1g
114,251800ATB,ergotamine tartrate   1mg
114,347701ACH,celecoxib   0.2g
114,347701ATB,celecoxib   0.2g
114,347702ACH,celecoxib   0.1g
114,347702ATB,celecoxib   0.1g
114,347703ACH,celecoxib   0.4g
114,348201ATB,bucillamine   0.1g
114,355501ATB,lornoxicam   8mg
114,355503ATB,lornoxicam   4mg
114,415501ATB,naratriptan hydrochloride (as naratriptan   2.5mg)
114,415601ATB,zolmitriptan   2.5mg
114,416601ATB,"위령선, 괄루근, 하고초 30% ethanol ext.   0.2g"
114,458402ATB,morniflumate   0.35g
114,480600ATB,acetaminophen   0.1625g
114,480600ATB,tramadol hydrochloride   18.75mg
114,513000ATB,acetaminophen   0.325g
114,513000ATB,tramadol hydrochloride   37.5mg
114,513000ATR,acetaminophen   0.325g
114,513000ATR,tramadol hydrochloride   37.5mg
114,514100ATR,acetaminophen   0.65g
114,514100ATR,tramadol hydrochloride   75mg
114,493401ATB,pelubiprofen   30mg
114,493402ATR,pelubiprofen   45mg
114,499401ATB,almotriptan maleate (as almotriptan   12.5mg)
114,509501ATB,frovatriptan succinate monohydrate (as frovatriptan   2.5mg)
114,516701ATB,자오가·우슬·방풍·두충·구척·흑두 dried ext.(20→1)   0.3g
114,518000ATB,esomeprazole magnesium (as esomeprazole   20mg)
114,518000ATB,naproxen   0.5g
114,523500ATB,esomeprazole strontium tetrahydrate (as esomeprazole   20mg)
114,523500ATB,naproxen   0.5g
114,527400ATB,esomeprazole   20mg
114,527400ATB,naproxen   0.5g
114,618201ATB,당귀·목과·방풍·속단·오가피·우슬·위령선·육계·진교·천궁·천마·홍화 25% ethanol soft ext.(3.5→1)   0.4054g
114,636401ACH,polmacoxib   2mg
114,636401ATB,polmacoxib   2mg
114,636901ATB,etoricoxib   30mg
