"Cured"	"Intervention"	"Duration"	"predicted.probabilities"	"standardized.residuals"	"dfbeta.(Intercept)"	"dfbeta.InterventionIntervention"	"studentized.residuals"	"dffit"	"leverage"
"Not Cured"	"No Treatment"	 7	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Not Cured"	"No Treatment"	 7	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Not Cured"	"No Treatment"	 6	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Cured"	"No Treatment"	 8	0.4285714	 1.3135473	 4.782751e-02	-4.782751e-02	 1.3110447	 0.15565258	0.01785714
"Cured"	"Intervention"	 7	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Cured"	"No Treatment"	 6	0.4285714	 1.3135473	 4.782751e-02	-4.782751e-02	 1.3110447	 0.15565258	0.01785714
"Not Cured"	"Intervention"	 7	0.7192982	-1.6081974	-4.483364e-18	-6.334765e-02	-1.6083171	-0.18943218	0.01754386
"Cured"	"Intervention"	 7	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Cured"	"No Treatment"	 8	0.4285714	 1.3135473	 4.782751e-02	-4.782751e-02	 1.3110447	 0.15565258	0.01785714
"Not Cured"	"No Treatment"	 7	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Cured"	"Intervention"	 7	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Cured"	"No Treatment"	 7	0.4285714	 1.3135473	 4.782751e-02	-4.782751e-02	 1.3110447	 0.15565258	0.01785714
"Cured"	"No Treatment"	 5	0.4285714	 1.3135473	 4.782751e-02	-4.782751e-02	 1.3110447	 0.15565258	0.01785714
"Not Cured"	"Intervention"	 9	0.7192982	-1.6081974	-4.483364e-18	-6.334765e-02	-1.6083171	-0.18943218	0.01754386
"Not Cured"	"No Treatment"	 6	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Not Cured"	"No Treatment"	 7	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Cured"	"Intervention"	 8	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Not Cured"	"Intervention"	 7	0.7192982	-1.6081974	-4.483364e-18	-6.334765e-02	-1.6083171	-0.18943218	0.01754386
"Cured"	"Intervention"	 7	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Cured"	"Intervention"	 9	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Not Cured"	"No Treatment"	 7	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
"Cured"	"Intervention"	 9	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Cured"	"Intervention"	 8	0.7192982	 0.8189783	 2.283164e-18	 3.225994e-02	 0.8160435	 0.09582269	0.01754386
"Not Cured"	"No Treatment"	 7	0.4285714	-1.0675117	-3.886912e-02	 3.886912e-02	-1.0643627	-0.12623854	0.01785714
